X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,JURISDIC,L_SRC,SOURCE,L_DATE
238940.6642,946474.140900001,300,GROVELAND POLICE DEPARTMENT,181 MAIN STREET,GROVELAND,MA,01834,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
234416.514200002,947319.300900001,301,HAVERHILL POLICE DEPARTMENT,40 BAILEY BOULEVARD,HAVERHILL,MA,01830,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
204552.144199997,914431.760899998,302,ACTON POLICE DEPARTMENT,371 MAIN STREET,ACTON,MA,01720,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
228622.6642,907697.170899998,303,ARLINGTON POLICE DEPARTMENT,112 MYSTIC STREET,ARLINGTON,MA,02474,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
202842.074199997,890011.480900001,304,ASHLAND POLICE DEPARTMENT,137 MAIN STREET,ASHLAND,MA,01721,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
217858.194200002,915825.380899999,305,BEDFORD POLICE DEPARTMENT,2 MUDGE WAY,BEDFORD,MA,01730,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
226537.134199999,905122.940900002,306,BELMONT POLICE DEPARTMENT,460 CONCORD AVENUE,BELMONT,MA,02478,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
250424.7377,923042.4855,307,BEVERLY POLICE DEPARTMENT,175 ELLIOTT STREET,BEVERLY,MA,01915,LOCAL,MASSGIS,MASSGIS,2022/04/29 00:00:00+00
199393.174199998,914508.580899999,308,BOXBOROUGH POLICE DEPARTMENT,520 MASSACHUSETTS AVENUE,BOXBOROUGH,MA,01719,LOCAL,MAPC,MEMA,2022/05/02 00:00:00+00
225275.054200001,917241.3409,309,BURLINGTON POLICE DEPARTMENT,45 CENTER STREET,BURLINGTON,MA,01803,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
212396.284199998,919992.810899999,310,CARLISLE POLICE DEPARTMENT,41 LOWELL STREET,CARLISLE,MA,01741,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
208782.964199997,912891.870900001,311,"STATE POLICE STATION A-3, CONCORD",906 ELM STREET,CONCORD,MA,01742,STATE,MAPC,MEMA,2006/09/12 00:00:00+00
245703.154200003,922848.990899999,312,DANVERS POLICE DEPARTMENT,120 ASH STREET,DANVERS,MA,01923,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
243631.321699999,926288.232900001,313,"STATE POLICE STATION A-6, DANVERS",485 MAPLE STREET,DANVERS,MA,01923,STATE,MAPC,MEMA,2006/09/12 00:00:00+00
258905.984999999,932113.9432,314,ESSEX POLICE DEPARTMENT,11 JOHN WISE AVE,ESSEX,MA,01929,LOCAL,MASSGIS,MASSGIS,2022/05/04 00:00:00+00
206810.604199998,892230.190900002,315,FRAMINGHAM POLICE DEPARTMENT,1 WILLIAM WELCH WAY,FRAMINGHAM,MA,01702,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
268836.244400002,929490.2388,316,GLOUCESTER POLICE DEPARTMENT,197 MAIN STREET,GLOUCESTER,MA,01930,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
251566.332800001,929288.847399998,317,HAMILTON POLICE DEPARTMENT,265 BAY ROAD,HAMILTON,MA,01982,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
206014.064199999,884110.890900001,318,HOLLISTON POLICE DEPARTMENT,550 WASHINGTON STREET,HOLLISTON,MA,01746,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
198042.224200003,886476.490899999,319,HOPKINTON POLICE DEPARTMENT,74 MAIN STREET,HOPKINTON,MA,01748,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
196545.855599999,905360.583000001,320,HUDSON POLICE DEPARTMENT,911 MUNICIPAL DRIVE,HUDSON,MA,01749,LOCAL,MASSGIS,MASSGIS,2022/05/04 00:00:00+00
254403.814199999,936598.580899999,321,IPSWICH POLICE DEPARTMENT,15 ELM STREET,IPSWICH,MA,01938,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
222753.494199999,910707.670899998,322,LEXINGTON POLICE DEPARTMENT,1575 MASSACHUSETTS AVENUE,LEXINGTON,MA,02420,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
214026.004199997,906975.4109,323,LINCOLN POLICE DEPARTMENT,169 LINCOLN ROAD,LINCOLN,MA,01773,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
201449.778399996,922402.897300001,324,LITTLETON POLICE DEPARTMENT,500 GREAT ROAD,LITTLETON,MA,01460,LOCAL,MAPC,MEMA,2014/03/01 00:00:00+00
237193.804200001,920955.320900001,325,LYNNFIELD POLICE DEPARTMENT,55 SUMMER STREET,LYNNFIELD,MA,01940,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
245336.984200001,912940.830899999,326,LYNN POLICE DEPARTMENT,300 WASHINGTON STREET,LYNN,MA,01901,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
237280.6228,908935.818399999,327,MALDEN POLICE DEPARTMENT,800 EASTERN AVE,MALDEN,MA,02148,LOCAL,MASSGIS,MASSGIS,2022/05/12 00:00:00+00
259727.644199997,925178.240899999,328,MANCHESTER BY-THE-SEA POLICE DEPARTMENT,10 CENTRAL STREET,MANCHESTER,MA,01944,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
252646.5242,916412.370900001,329,MARBLEHEAD POLICE DEARTMENT,11 GERRY STREET,MARBLEHEAD,MA,01945,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
